"site","transect","fishing","abundance"
"A",1,3.19,6
"A",2,3.51,6
"A",3,3.41,4
"A",4,3.89,2
"B",1,3.15,11
"b",2,3.26,11
"B",3,2.81,5
"B",4,3.45,6
"C",1,2.37,16
"C",2,2.6,16
"C",3,2.83,9
"C",4,2.83,7
"D",1,0.91,32
"D",2,1.38,26
"D",3,1.07,24
"D",4,1,32
"E",1,1.46,22
"E",2,1.91,14
"E",3,1.2,30
"E",4,2.81,9
"F",1,1.69,19
"F",2,2.29,21
"F",3,2.04,21
"F",4,2.29,7
"G",1,1.88,11
"G",2,2.06,18
"G",3,1.92,16
"G",4,2.4,15
"H",1,2.24,13
"H",2,2.94,8
"H",3,2.77,11
"H",4,3.69,5
"I",1,2.59,8
"I",2,2.6,14
"I",3,2.31,16
"I",4,2.55,11
"J",1,3.05,8
"J",2,3.16,5
"J",3,3.49,6
"J",4,3.44,4
